model,threshold,layer,EF1%,AUROC
drugclip,4A,L1,12.421,0.6968
drugclip,4A,L2,7.001,0.6367
drugclip,4A,L3,3.725,0.5621
drugclip,4A,L4,3.393,0.5892
bindclip_randneg,4A,L1,13.006,0.6801
bindclip_randneg,4A,L2,6.941,0.6150
bindclip_randneg,4A,L3,3.150,0.5673
bindclip_randneg,4A,L4,3.500,0.5492
bindclip_hardneg,4A,L1,12.292,0.6673
bindclip_hardneg,4A,L2,7.229,0.6065
bindclip_hardneg,4A,L3,4.544,0.5537
bindclip_hardneg,4A,L4,2.881,0.5551
drugclip,6A,L1,18.843,0.7434
drugclip,6A,L2,12.579,0.7183
drugclip,6A,L3,6.575,0.6534
drugclip,6A,L4,6.787,0.6601
bindclip_randneg,6A,L1,19.130,0.7439
bindclip_randneg,6A,L2,12.865,0.7076
bindclip_randneg,6A,L3,8.205,0.6936
bindclip_randneg,6A,L4,5.715,0.6277
bindclip_hardneg,6A,L1,17.831,0.7246
bindclip_hardneg,6A,L2,12.578,0.7143
bindclip_hardneg,6A,L3,7.898,0.6417
bindclip_hardneg,6A,L4,6.005,0.6462
ligunity_pocket_ranking,6A,L1,35.301,0.8801
ligunity_pocket_ranking,6A,L2,26.416,0.8426
ligunity_pocket_ranking,6A,L3,14.040,0.7419
ligunity_pocket_ranking,6A,L4,8.400,0.6694
ligunity_protein_ranking,6A,L1,39.279,0.9030
ligunity_protein_ranking,6A,L2,30.220,0.8685
ligunity_protein_ranking,6A,L3,17.814,0.7605
ligunity_protein_ranking,6A,L4,8.857,0.6901
litenclip,6A,L1,32.368,0.8838
litenclip,6A,L2,23.063,0.8439
litenclip,6A,L3,12.945,0.7570
litenclip,6A,L4,8.456,0.6875
hypseek_rk,6A,L1,36.631,0.9230
hypseek_rk,6A,L2,23.609,0.8776
hypseek_rk,6A,L3,13.555,0.7696
hypseek_rk,6A,L4,7.341,0.7103
conglude,6A,L1,13.627,0.6928
conglude,6A,L2,7.749,0.6542
conglude,6A,L3,5.361,0.5289
conglude,6A,L4,3.867,0.5694
conplex,6A,L1,7.667,0.6076
conplex,6A,L2,3.778,0.5731
conplex,6A,L3,3.260,0.5263
conplex,6A,L4,2.044,0.5507
sprint,6A,L1,2.518,0.5789
sprint,6A,L2,1.840,0.5612
sprint,6A,L3,1.316,0.4845
sprint,6A,L4,1.369,0.5226
hypseek_official_vs,6A,L1,32.115,0.9110
hypseek_official_vs,6A,L2,20.953,0.8624
hypseek_official_vs,6A,L3,12.404,0.7529
hypseek_official_vs,6A,L4,7.073,0.7018
drugclip,8A,L1,7.173,0.6138
drugclip,8A,L2,6.620,0.6469
drugclip,8A,L3,2.229,0.6141
drugclip,8A,L4,3.288,0.5709
bindclip_randneg,8A,L1,5.366,0.5783
bindclip_randneg,8A,L2,5.176,0.6293
bindclip_randneg,8A,L3,2.028,0.5812
bindclip_randneg,8A,L4,2.073,0.5428
bindclip_hardneg,8A,L1,6.456,0.5540
bindclip_hardneg,8A,L2,5.481,0.6236
bindclip_hardneg,8A,L3,3.019,0.5950
bindclip_hardneg,8A,L4,3.635,0.5537
