model,layer,n_holo,ef1_holo,sem_holo,n_pred,ef1_pred,sem_pred,p,seq_only
drugclip,L3,31,5.3040,1.7286,18,8.3298,3.1560,0.3520,0
drugclip,L4,89,6.7314,1.2629,137,6.8191,1.0490,0.8822,0
bindclip_randneg,L3,31,8.3254,2.0932,18,7.9985,2.1790,0.7392,0
bindclip_randneg,L4,89,6.1117,1.2155,137,5.4076,0.9917,0.2837,0
bindclip_hardneg,L3,31,9.0027,2.4116,18,5.9950,1.8280,0.6222,0
bindclip_hardneg,L4,89,6.3382,1.3354,137,5.7851,0.9744,0.3241,0
ligunity_pocket_ranking,L3,30,12.5254,3.1799,18,16.1847,3.3443,0.2870,0
ligunity_pocket_ranking,L4,87,11.6996,1.7659,137,6.2872,1.0736,0.0086,0
ligunity_protein_ranking,L3,30,18.3890,3.8659,18,16.8556,4.1420,0.9062,1
ligunity_protein_ranking,L4,87,9.1453,1.6656,137,8.6368,1.2689,0.8960,1
litenclip,L3,30,14.1034,3.2593,18,11.0134,2.7107,0.8531,0
litenclip,L4,87,10.6278,1.6840,137,7.0761,1.1332,0.1964,0
hypseek_rk,L3,30,15.4839,3.1899,18,10.3403,3.1118,0.4541,0
hypseek_rk,L4,87,9.1343,1.6543,137,6.2030,1.1039,0.0295,0
conglude,L3,21,7.2692,2.5149,18,3.1356,1.1964,0.3881,0
conglude,L4,65,6.3996,1.4103,137,2.6648,0.5899,0.0017,0
conplex,L3,27,1.4260,0.6620,18,6.2791,2.8605,0.1323,1
conplex,L4,84,1.8939,0.4481,131,2.1994,0.5165,0.6604,1
sprint,L3,21,1.0769,0.4744,18,1.5960,1.0151,0.9544,0
sprint,L4,65,1.9021,0.4634,137,1.1165,0.2662,0.0229,0
