model,layer,n_holo,ef1_holo,sem_holo,n_pred,ef1_pred,sem_pred,p,seq_only
ligunity_protein_ranking,L4,18,14.2636,4.1949,25,8.3265,2.9626,0.1457,1
ligunity_pocket_ranking,L4,18,14.5650,4.4752,25,5.5941,2.3481,0.1421,0
hypseek_rk,L4,18,11.6200,3.9526,25,6.6417,2.2182,0.2497,0
hypseek_official_vs,L4,18,11.0427,4.1726,25,6.5518,2.5704,0.2217,0
litenclip,L4,18,13.9462,4.4511,25,4.3050,1.8109,0.5211,0
litenclip_v2,L4,18,8.0784,3.5400,25,4.8388,2.1234,0.3574,0
drugjepa,L4,18,14.0381,4.3987,25,6.6335,1.9905,0.3806,0
drugclip,L4,19,10.7742,4.0088,25,5.5930,1.8453,0.7612,0
bindclip_randneg,L4,19,11.0108,3.6338,25,4.5698,1.4616,0.2825,0
bindclip_hardneg,L4,19,9.1326,3.7670,25,4.3347,1.8267,0.9897,0
conglude,L4,14,11.6193,5.0413,25,3.8967,1.8054,0.4803,0
conplex,L4,17,1.2611,0.5393,21,1.8793,1.1917,0.7085,1
sprint,L4,14,3.0943,1.1201,25,0.6766,0.3102,0.0101,0
