model,layer,n_holo,ef1_holo,sem_holo,n_pred,ef1_pred,sem_pred,p,seq_only
drugclip,L4,27,10.7073,2.6614,24,7.5393,2.6498,0.1781,0
bindclip_randneg,L4,27,7.7104,1.9134,24,6.1686,2.5650,0.1746,0
bindclip_hardneg,L4,27,5.6365,2.2104,24,7.3722,2.4722,0.6457,0
ligunity_pocket_ranking,L4,27,17.2523,3.5626,24,5.9102,2.5358,0.0524,0
ligunity_protein_ranking,L4,27,14.2113,3.3451,24,10.3295,3.1623,0.4994,1
litenclip,L4,27,14.2917,3.0120,24,5.3819,2.3120,0.0292,0
hypseek_rk,L4,27,12.0776,2.9946,24,7.4637,2.6643,0.2016,0
conglude,L4,20,7.0569,2.9941,24,5.4571,2.2056,0.3241,0
conplex,L4,24,2.5655,1.0046,23,2.2800,1.0803,0.8015,1
sprint,L4,20,2.9394,0.9047,24,1.0157,0.3201,0.0707,0
