system,n_ligands,method,spearman,kendall
bace,36,boltz2,-0.0813,-0.0447
bace,36,ligunity_pocket_ranking,-0.1118,-0.0719
bace,36,ligunity_protein_ranking,0.4444,0.3086
bace,36,litenclip,-0.4883,-0.3291
cdk2,16,boltz2,0.7824,0.5667
cdk2,16,ligunity_pocket_ranking,-0.3559,-0.2500
cdk2,16,ligunity_protein_ranking,0.2958,0.1757
cdk2,16,litenclip,0.5059,0.3333
cdk8,32,boltz2,0.7989,0.6339
cdk8,32,ligunity_pocket_ranking,0.5734,0.4272
cdk8,32,ligunity_protein_ranking,0.3144,0.2359
cdk8,32,litenclip,0.4752,0.3057
cmet,24,boltz2,0.8831,0.7326
cmet,24,ligunity_pocket_ranking,0.4516,0.3150
cmet,24,ligunity_protein_ranking,0.5373,0.3810
cmet,24,litenclip,0.5121,0.3810
eg5,28,boltz2,0.4939,0.3593
eg5,28,ligunity_pocket_ranking,0.3122,0.2145
eg5,28,ligunity_protein_ranking,0.3958,0.2574
eg5,28,litenclip,0.4517,0.3057
hif2a,41,boltz2,0.4332,0.3151
hif2a,41,ligunity_pocket_ranking,0.4586,0.3327
hif2a,41,ligunity_protein_ranking,0.4148,0.3057
hif2a,41,litenclip,0.3700,0.2710
jnk1,21,boltz2,0.8061,0.6062
jnk1,21,ligunity_pocket_ranking,0.6316,0.4211
jnk1,21,ligunity_protein_ranking,0.3378,0.2339
jnk1,21,litenclip,-0.3066,-0.2053
mcl1,42,boltz2,0.8845,0.7081
mcl1,42,ligunity_pocket_ranking,0.7330,0.5523
mcl1,42,ligunity_protein_ranking,0.7992,0.5794
mcl1,42,litenclip,0.7240,0.5198
p38,34,boltz2,0.5033,0.3501
p38,34,ligunity_pocket_ranking,0.1863,0.1222
p38,34,ligunity_protein_ranking,0.1292,0.0808
p38,34,litenclip,-0.2522,-0.1706
pfkfb3,40,boltz2,0.1685,0.1231
pfkfb3,40,ligunity_pocket_ranking,0.4398,0.3092
pfkfb3,40,ligunity_protein_ranking,0.1577,0.0963
pfkfb3,40,litenclip,0.1109,0.1000
ptp1b,23,boltz2,0.8229,0.6707
ptp1b,23,ligunity_pocket_ranking,0.3135,0.2200
ptp1b,23,ligunity_protein_ranking,0.1816,0.1597
ptp1b,23,litenclip,0.0262,0.0240
shp2,26,boltz2,0.3320,0.2431
shp2,26,ligunity_pocket_ranking,0.5720,0.3846
shp2,26,ligunity_protein_ranking,0.6196,0.4376
shp2,26,litenclip,0.5494,0.4154
syk,44,boltz2,0.7783,0.5785
syk,44,ligunity_pocket_ranking,0.2384,0.1651
syk,44,ligunity_protein_ranking,0.2916,0.2180
syk,44,litenclip,0.3009,0.2147
thrombin,11,boltz2,0.6909,0.5273
thrombin,11,ligunity_pocket_ranking,0.6364,0.4545
thrombin,11,ligunity_protein_ranking,0.7000,0.6000
thrombin,11,litenclip,0.3182,0.2364
tnks2,27,boltz2,0.7367,0.5706
tnks2,27,ligunity_pocket_ranking,0.6225,0.4451
tnks2,27,ligunity_protein_ranking,0.3270,0.1940
tnks2,27,litenclip,0.7080,0.5250
tyk2,16,boltz2,0.8059,0.6500
tyk2,16,ligunity_pocket_ranking,0.5794,0.4167
tyk2,16,ligunity_protein_ranking,0.3824,0.2833
tyk2,16,litenclip,0.4059,0.2667
