target,n,n_ligands,coverage,n_actives,method,p_at_10,p_at_20,mean_active_rank,auroc
Q16832,200,200,1.000,138,retrieval,1.000,0.950,84.77,0.7536
Q16832,200,200,1.000,138,smina_rerank,0.700,0.700,101.04,0.4929
Q16832,200,200,1.000,138,rank_fusion,1.000,1.000,90.78,0.6573
P0AES4,115,200,0.575,66,retrieval,0.600,0.750,48.17,0.7007
P0AES4,115,200,0.575,66,smina_rerank,0.800,0.750,51.06,0.6452
P0AES4,115,200,0.575,66,rank_fusion,0.900,0.800,47.65,0.7107
P50052,91,200,0.455,5,retrieval,0.000,0.000,46.60,0.4930
P50052,91,200,0.455,5,smina_rerank,0.000,0.000,65.60,0.2733
P50052,91,200,0.455,5,rank_fusion,0.000,0.000,58.40,0.3558
P21917,184,200,0.920,46,retrieval,0.900,0.800,41.07,0.8727
P21917,184,200,0.920,46,smina_rerank,0.500,0.500,65.37,0.6982
P21917,184,200,0.920,46,rank_fusion,0.600,0.650,40.54,0.8764
Q96GX5,200,200,1.000,14,retrieval,0.000,0.050,87.57,0.5695
Q96GX5,200,200,1.000,14,smina_rerank,0.100,0.200,34.43,0.8554
Q96GX5,200,200,1.000,14,rank_fusion,0.200,0.200,41.71,0.8164
P17948,200,200,1.000,66,retrieval,0.300,0.250,84.24,0.6211
P17948,200,200,1.000,66,smina_rerank,0.400,0.250,101.67,0.4934
P17948,200,200,1.000,66,rank_fusion,0.200,0.400,89.77,0.5802
P34969,200,200,1.000,60,retrieval,0.800,0.750,79.97,0.6467
P34969,200,200,1.000,60,smina_rerank,0.400,0.350,111.18,0.4255
P34969,200,200,1.000,60,rank_fusion,0.500,0.350,95.82,0.5340
Q16739,200,200,1.000,7,retrieval,0.000,0.000,167.00,0.1566
Q16739,200,200,1.000,7,smina_rerank,0.000,0.050,92.86,0.5355
Q16739,200,200,1.000,7,rank_fusion,0.000,0.000,143.00,0.2798
P35462,198,200,0.990,66,retrieval,0.800,0.900,52.56,0.8554
P35462,198,200,0.990,66,smina_rerank,0.300,0.300,78.67,0.6584
P35462,198,200,0.990,66,rank_fusion,0.800,0.850,54.85,0.8382
Q86UE8,200,200,1.000,42,retrieval,0.200,0.150,100.57,0.4996
Q86UE8,200,200,1.000,42,smina_rerank,0.100,0.050,134.38,0.2832
Q86UE8,200,200,1.000,42,rank_fusion,0.100,0.050,126.74,0.3342
Q5JRX3,200,200,1.000,24,retrieval,0.600,0.500,39.71,0.8453
Q5JRX3,200,200,1.000,24,smina_rerank,0.000,0.000,119.92,0.3867
Q5JRX3,200,200,1.000,24,rank_fusion,0.100,0.150,62.54,0.7157
P28223,200,200,1.000,181,retrieval,1.000,1.000,97.95,0.6339
P28223,200,200,1.000,181,smina_rerank,0.800,0.750,103.66,0.3315
P28223,200,200,1.000,181,rank_fusion,1.000,0.900,101.01,0.4737
