target,n_shortlist,n_actives,method,p_at_5,p_at_10,mean_active_rank,auroc
O14578,50,36,retrieval,0.400,0.400,27.39,0.3651
O14578,50,36,boltz2_rerank,0.800,0.900,21.89,0.7579
O14578,50,36,rank_fusion,0.800,0.800,24.19,0.5933
Q8N1C3,50,44,retrieval,1.000,1.000,24.43,0.6799
Q8N1C3,50,44,boltz2_rerank,1.000,0.800,26.02,0.4129
Q8N1C3,50,44,rank_fusion,1.000,1.000,25.09,0.5644
P49721,49,6,retrieval,0.000,0.100,33.83,0.2946
P49721,49,6,boltz2_rerank,0.200,0.100,27.50,0.4419
P49721,49,6,rank_fusion,0.000,0.100,33.50,0.3004
Q96DB2,50,27,retrieval,1.000,0.800,21.04,0.6940
Q96DB2,50,27,boltz2_rerank,1.000,0.800,19.81,0.7472
Q96DB2,50,27,rank_fusion,1.000,0.900,18.67,0.7955
P20648,50,29,retrieval,0.600,0.700,22.93,0.6223
P20648,50,29,boltz2_rerank,0.000,0.100,26.79,0.4384
P20648,50,29,rank_fusion,0.200,0.400,24.66,0.5411
O00750,50,4,retrieval,0.000,0.000,39.75,0.1902
O00750,50,4,boltz2_rerank,0.400,0.200,15.25,0.7228
O00750,50,4,rank_fusion,0.000,0.000,27.00,0.4783
Q8IU80,50,15,retrieval,1.000,1.000,8.00,1.0000
Q8IU80,50,15,boltz2_rerank,0.800,0.400,18.67,0.6952
Q8IU80,50,15,rank_fusion,1.000,1.000,10.27,0.9352
P97639,47,2,retrieval,0.000,0.000,38.50,0.1778
P97639,47,2,boltz2_rerank,0.200,0.100,7.50,0.8667
P97639,47,2,rank_fusion,0.000,0.000,26.50,0.4444
O95278,49,4,retrieval,0.200,0.100,22.25,0.5611
O95278,49,4,boltz2_rerank,0.000,0.000,27.50,0.4444
O95278,49,4,rank_fusion,0.200,0.100,25.50,0.4889
Q9GZQ6,48,2,retrieval,0.000,0.000,38.50,0.1957
Q9GZQ6,48,2,boltz2_rerank,0.000,0.100,18.00,0.6413
Q9GZQ6,48,2,rank_fusion,0.000,0.000,31.00,0.3587
