target,n_shortlist,n_actives,method,p_at_5,p_at_10,mean_active_rank,auroc
P97639,47,2,retrieval,0.000,0.000,38.50,0.1778
P97639,47,2,boltz2_rerank,0.200,0.200,6.00,0.9000
P97639,47,2,rank_fusion,0.000,0.000,22.50,0.5222
O54890,50,5,retrieval,0.600,0.400,8.40,0.8822
O54890,50,5,boltz2_rerank,0.200,0.200,19.40,0.6356
O54890,50,5,rank_fusion,0.600,0.300,10.80,0.8267
O00750,50,4,retrieval,0.000,0.000,39.75,0.1902
O00750,50,4,boltz2_rerank,0.400,0.200,15.50,0.7174
O00750,50,4,rank_fusion,0.000,0.000,27.50,0.4538
Q8NEV1,50,2,retrieval,0.200,0.100,10.50,0.8125
Q8NEV1,50,2,boltz2_rerank,0.000,0.000,34.50,0.3125
Q8NEV1,50,2,rank_fusion,0.000,0.000,21.50,0.5781
P49721,49,6,retrieval,0.000,0.100,33.83,0.2946
P49721,49,6,boltz2_rerank,0.000,0.100,26.50,0.4651
P49721,49,6,rank_fusion,0.000,0.000,32.67,0.3217
Q9GZQ6,48,2,retrieval,0.000,0.000,38.50,0.1957
Q9GZQ6,48,2,boltz2_rerank,0.000,0.100,13.00,0.7500
Q9GZQ6,48,2,rank_fusion,0.000,0.000,25.00,0.4783
O95278,49,4,retrieval,0.200,0.100,22.25,0.5611
O95278,49,4,boltz2_rerank,0.000,0.000,29.00,0.4111
O95278,49,4,rank_fusion,0.200,0.100,25.75,0.4889
P37059,49,5,retrieval,0.000,0.000,31.40,0.3523
P37059,49,5,boltz2_rerank,0.000,0.000,26.40,0.4682
P37059,49,5,rank_fusion,0.000,0.000,31.40,0.3591
P38158,50,5,retrieval,0.400,0.200,24.00,0.5333
P38158,50,5,boltz2_rerank,0.000,0.000,30.40,0.3911
P38158,50,5,rank_fusion,0.200,0.100,27.00,0.4578
P24863,50,2,retrieval,0.000,0.000,37.50,0.2448
P24863,50,2,boltz2_rerank,0.000,0.000,25.00,0.5104
P24863,50,2,rank_fusion,0.000,0.000,35.50,0.2969
Q9H300,50,4,retrieval,0.000,0.200,17.50,0.6712
Q9H300,50,4,boltz2_rerank,0.000,0.100,20.25,0.6141
Q9H300,50,4,rank_fusion,0.200,0.200,19.75,0.6277
Q2FYS5,50,2,retrieval,0.000,0.000,24.00,0.5312
Q2FYS5,50,2,boltz2_rerank,0.000,0.100,23.00,0.5521
Q2FYS5,50,2,rank_fusion,0.000,0.000,24.00,0.5312
Q91WP0,47,2,retrieval,0.000,0.000,30.50,0.3500
Q91WP0,47,2,boltz2_rerank,0.000,0.000,18.00,0.6333
Q91WP0,47,2,rank_fusion,0.000,0.000,22.50,0.5278
Q9BQ50,50,3,retrieval,0.000,0.100,25.00,0.5106
Q9BQ50,50,3,boltz2_rerank,0.000,0.000,36.33,0.2695
Q9BQ50,50,3,rank_fusion,0.000,0.000,32.33,0.3582
Q9NSU2,50,3,retrieval,0.000,0.100,31.00,0.3830
Q9NSU2,50,3,boltz2_rerank,0.000,0.000,38.67,0.2199
Q9NSU2,50,3,rank_fusion,0.000,0.000,36.67,0.2589
