target,n_shortlist,n_actives,frac_active,method,p_at_5,p_at_10,mean_active_rank,auroc
O14578,167,111,0.665,retrieval,0.400,0.500,83.98,0.5002
O14578,167,111,0.665,boltz,0.800,0.900,68.96,0.7685
O14578,167,111,0.665,rank_fusion,1.000,1.000,75.06,0.6602
O42275,150,79,0.527,retrieval,1.000,1.000,57.32,0.7561
O42275,150,79,0.527,boltz,1.000,0.800,75.58,0.4988
O42275,150,79,0.527,rank_fusion,1.000,1.000,64.70,0.6519
O60427,290,162,0.559,retrieval,0.000,0.000,209.50,0.0000
O60427,290,162,0.559,boltz,0.000,0.000,135.86,0.5753
O60427,290,162,0.559,rank_fusion,0.000,0.000,184.74,0.1936
O88634,178,46,0.258,retrieval,0.000,0.000,155.50,0.0000
O88634,178,46,0.258,boltz,0.200,0.100,105.83,0.3763
O88634,178,46,0.258,rank_fusion,0.000,0.000,141.78,0.1038
P14060,183,48,0.262,retrieval,0.000,0.000,156.52,0.0221
P14060,183,48,0.262,boltz,0.400,0.200,59.79,0.7386
P14060,183,48,0.262,rank_fusion,0.000,0.000,118.71,0.3020
P20648,165,79,0.479,retrieval,0.800,0.900,84.25,0.4852
P20648,165,79,0.479,boltz,0.400,0.200,78.80,0.5489
P20648,165,79,0.479,rank_fusion,0.400,0.300,80.20,0.5322
P52429,194,53,0.273,retrieval,0.000,0.000,168.00,0.0000
P52429,194,53,0.273,boltz,0.000,0.000,72.96,0.6740
P52429,194,53,0.273,rank_fusion,0.000,0.000,133.11,0.2478
Q08828,182,46,0.253,retrieval,0.000,0.000,159.50,0.0000
Q08828,182,46,0.253,boltz,0.000,0.000,129.13,0.2233
Q08828,182,46,0.253,rank_fusion,0.000,0.000,155.46,0.0297
Q13233,178,43,0.242,retrieval,0.000,0.000,157.00,0.0000
Q13233,178,43,0.242,boltz,0.000,0.000,100.49,0.4186
Q13233,178,43,0.242,rank_fusion,0.000,0.000,141.91,0.1121
Q13574,532,397,0.746,retrieval,0.000,0.000,333.75,0.0019
Q13574,532,397,0.746,boltz,0.400,0.600,239.40,0.7008
Q13574,532,397,0.746,rank_fusion,0.000,0.000,296.40,0.2785
Q8N1C3,203,131,0.645,retrieval,1.000,1.000,112.81,0.3499
Q8N1C3,203,131,0.645,boltz,0.600,0.600,99.73,0.5316
Q8N1C3,203,131,0.645,rank_fusion,0.600,0.500,108.72,0.4065
Q96DB2,140,47,0.336,retrieval,1.000,0.800,59.40,0.6193
Q96DB2,140,47,0.336,boltz,0.600,0.700,49.72,0.7234
Q96DB2,140,47,0.336,rank_fusion,1.000,0.900,49.74,0.7227
