model,layer,uniprot,n_molecules,order_used
hypseek_rk,L1,C7C422,1784,FAIL
hypseek_rk,L1,O00141,1581,lmdb
hypseek_rk,L1,O00329,9273,FAIL
hypseek_rk,L1,O00444,662,lmdb
hypseek_rk,L1,O00763,663,lmdb
hypseek_rk,L1,O14744,1222,lmdb
hypseek_rk,L1,O14757,662,lmdb
hypseek_rk,L1,O14965,1172,lmdb
hypseek_rk,L1,O15379,7189,lmdb
hypseek_rk,L1,O43353,12518,lmdb
hypseek_rk,L1,O43570,12736,FAIL
hypseek_rk,L1,O60218,1682,lmdb
hypseek_rk,L1,O60341,5301,lmdb
hypseek_rk,L1,O60674,11614,lmdb
hypseek_rk,L1,O60885,2954,lmdb
hypseek_rk,L1,O75116,1733,lmdb
hypseek_rk,L1,O75385,510,lmdb
hypseek_rk,L1,O75417,509,lmdb
hypseek_rk,L1,O75460,1732,lmdb
hypseek_rk,L1,O75469,4179,lmdb
hypseek_rk,L1,O75762,763,lmdb
hypseek_rk,L1,O75874,1476,lmdb
hypseek_rk,L1,O76074,2753,lmdb
hypseek_rk,L1,O76083,764,lmdb
hypseek_rk,L1,O95271,965,lmdb
hypseek_rk,L1,O95819,816,lmdb
hypseek_rk,L1,O96013,1071,lmdb
hypseek_rk,L1,O96028,1121,lmdb
hypseek_rk,L1,P00338,560,lmdb
hypseek_rk,L1,P00352,510,lmdb
hypseek_rk,L1,P00491,1325,lmdb
hypseek_rk,L1,P00519,2393,lmdb
hypseek_rk,L1,P00533,23791,lmdb
hypseek_rk,L1,P00734,7595,lmdb
hypseek_rk,L1,P00742,1019,lmdb
hypseek_rk,L1,P00915,8612,FAIL
hypseek_rk,L1,P00918,12485,FAIL
hypseek_rk,L1,P01116,2593,lmdb
hypseek_rk,L1,P03372,2038,lmdb
hypseek_rk,L1,P04049,867,lmdb
hypseek_rk,L1,P04626,4890,lmdb
hypseek_rk,L1,P04629,3262,lmdb
hypseek_rk,L1,P04798,3210,FAIL
hypseek_rk,L1,P05089,2906,lmdb
hypseek_rk,L1,P05177,2139,FAIL
hypseek_rk,L1,P05979,1530,lmdb
hypseek_rk,L1,P06213,662,lmdb
hypseek_rk,L1,P06239,3463,lmdb
hypseek_rk,L1,P06276,2498,lmdb
hypseek_rk,L1,P06493,1884,FAIL
hypseek_rk,L1,P07333,5251,FAIL
hypseek_rk,L1,P07550,612,lmdb
hypseek_rk,L1,P07711,2091,lmdb
hypseek_rk,L1,P07900,1479,FAIL
hypseek_rk,L1,P07948,663,lmdb
hypseek_rk,L1,P07949,2090,lmdb
hypseek_rk,L1,P08069,2038,lmdb
hypseek_rk,L1,P08173,662,FAIL
hypseek_rk,L1,P08238,1377,lmdb
hypseek_rk,L1,P08246,1476,lmdb
hypseek_rk,L1,P08253,712,lmdb
hypseek_rk,L1,P08581,3365,lmdb
hypseek_rk,L1,P08908,2394,lmdb
hypseek_rk,L1,P08913,1121,lmdb
hypseek_rk,L1,P08922,1019,lmdb
hypseek_rk,L1,P09874,8149,lmdb
hypseek_rk,L1,P0C6U8,612,FAIL
hypseek_rk,L1,P0DMS8,3507,FAIL
hypseek_rk,L1,P0DTD1,21395,FAIL
hypseek_rk,L1,P10275,765,FAIL
hypseek_rk,L1,P10415,712,lmdb
hypseek_rk,L1,P10721,1987,FAIL
hypseek_rk,L1,P11309,2804,lmdb
hypseek_rk,L1,P11362,2854,lmdb
hypseek_rk,L1,P11511,712,lmdb
hypseek_rk,L1,P11802,3620,FAIL
hypseek_rk,L1,P13569,1019,lmdb
hypseek_rk,L1,P14324,509,lmdb
hypseek_rk,L1,P14618,612,lmdb
hypseek_rk,L1,P14867,2295,lmdb
hypseek_rk,L1,P14902,2548,lmdb
hypseek_rk,L1,P14920,714,lmdb
hypseek_rk,L1,P15121,916,lmdb
hypseek_rk,L1,P15538,765,lmdb
hypseek_rk,L1,P16083,815,lmdb
hypseek_rk,L1,P16110,663,lmdb
hypseek_rk,L1,P16234,1987,lmdb
hypseek_rk,L1,P17252,1121,lmdb
hypseek_rk,L1,P17706,867,lmdb
hypseek_rk,L1,P17931,712,lmdb
hypseek_rk,L1,P18031,5902,lmdb
hypseek_rk,L1,P18089,815,lmdb
hypseek_rk,L1,P18825,1020,lmdb
hypseek_rk,L1,P19099,867,lmdb
hypseek_rk,L1,P19634,1171,lmdb
hypseek_rk,L1,P19793,813,FAIL
hypseek_rk,L1,P21397,1071,lmdb
hypseek_rk,L1,P21554,5096,lmdb
hypseek_rk,L1,P21589,1222,lmdb
hypseek_rk,L1,P21728,1223,lmdb
hypseek_rk,L1,P21802,917,lmdb
hypseek_rk,L1,P21918,610,lmdb
hypseek_rk,L1,P21964,1527,lmdb
hypseek_rk,L1,P22303,4536,lmdb
hypseek_rk,L1,P22413,9628,lmdb
hypseek_rk,L1,P22455,2803,lmdb
hypseek_rk,L1,P22607,1019,lmdb
hypseek_rk,L1,P22748,5699,lmdb
hypseek_rk,L1,P23458,10037,FAIL
hypseek_rk,L1,P23467,867,lmdb
hypseek_rk,L1,P24941,2804,FAIL
hypseek_rk,L1,P25440,660,lmdb
hypseek_rk,L1,P25774,663,lmdb
hypseek_rk,L1,P25779,559,lmdb
hypseek_rk,L1,P27338,7900,lmdb
hypseek_rk,L1,P27487,1681,lmdb
hypseek_rk,L1,P28062,714,lmdb
hypseek_rk,L1,P28074,1885,lmdb
hypseek_rk,L1,P28222,765,lmdb
hypseek_rk,L1,P28335,4078,lmdb
hypseek_rk,L1,P28482,763,lmdb
hypseek_rk,L1,P28566,510,lmdb
hypseek_rk,L1,P29274,714,FAIL
hypseek_rk,L1,P29466,867,lmdb
hypseek_rk,L1,P29597,9519,FAIL
hypseek_rk,L1,P30291,1529,FAIL
hypseek_rk,L1,P30530,2548,lmdb
hypseek_rk,L1,P30542,1017,FAIL
hypseek_rk,L1,P31153,3213,lmdb
hypseek_rk,L1,P31639,561,lmdb
hypseek_rk,L1,P31645,561,lmdb
hypseek_rk,L1,P31749,6317,lmdb
hypseek_rk,L1,P31751,1783,lmdb
hypseek_rk,L1,P33981,1477,lmdb
hypseek_rk,L1,P34913,6317,lmdb
hypseek_rk,L1,P34914,5044,lmdb
hypseek_rk,L1,P34972,3414,FAIL
hypseek_rk,L1,P35354,2243,lmdb
hypseek_rk,L1,P35367,510,lmdb
hypseek_rk,L1,P35372,1427,lmdb
hypseek_rk,L1,P35968,6924,lmdb
hypseek_rk,L1,P36776,1020,lmdb
hypseek_rk,L1,P36888,4282,lmdb
hypseek_rk,L1,P36897,916,lmdb
hypseek_rk,L1,P37231,867,lmdb
hypseek_rk,L1,P41143,713,FAIL
hypseek_rk,L1,P41145,9834,FAIL
hypseek_rk,L1,P41182,3208,lmdb
hypseek_rk,L1,P41240,915,lmdb
hypseek_rk,L1,P41595,4634,FAIL
hypseek_rk,L1,P42330,1682,lmdb
hypseek_rk,L1,P42336,4536,lmdb
hypseek_rk,L1,P42345,1683,FAIL
hypseek_rk,L1,P43166,4126,lmdb
hypseek_rk,L1,P43405,559,lmdb
hypseek_rk,L1,P43490,867,lmdb
hypseek_rk,L1,P45983,1733,FAIL
hypseek_rk,L1,P45984,1631,FAIL
hypseek_rk,L1,P47989,2804,lmdb
hypseek_rk,L1,P48039,662,lmdb
hypseek_rk,L1,P48735,560,lmdb
hypseek_rk,L1,P48736,6319,FAIL
hypseek_rk,L1,P49137,509,lmdb
hypseek_rk,L1,P49286,914,lmdb
hypseek_rk,L1,P49327,33880,lmdb
hypseek_rk,L1,P49759,561,lmdb
hypseek_rk,L1,P49760,662,FAIL
hypseek_rk,L1,P49840,510,lmdb
hypseek_rk,L1,P49841,1223,lmdb
