uniprot_a,layer_a,class_a,uniprot_b,layer_b,class_b,identity
P01111,L3,其他酶,P01116,L2,其他酶,0.8730
Q13547,L1,表观,Q92769,L1,表观,0.8610
P05622,L3,激酶,P09619,L2,激酶,0.8607
P31749,L2,激酶,P31751,L2,激酶,0.8146
P49759,L2,激酶,Q9HAZ1,L2,激酶,0.7963
P53634,L2,蛋白酶,P97821,L3,蛋白酶,0.7792
P34913,L2,蛋白酶,P34914,L2,蛋白酶,0.7329
P28347,L3,其他/未分类,Q99594,L3,其他/未分类,0.7277
P06241,L2,激酶,P12931,L1,激酶,0.7015
P28347,L3,其他/未分类,Q15562,L3,其他/未分类,0.6854
O43613,L2,GPCR,O43614,L2,GPCR,0.6682
P48729,L2,激酶,P48730,L2,激酶,0.6677
O75116,L2,激酶,Q13464,L2,激酶,0.6610
Q15562,L3,其他/未分类,Q99594,L3,其他/未分类,0.6483
P04049,L2,激酶,P10398,L2,激酶,0.6205
P35372,L2,GPCR,P41143,L2,GPCR,0.6102
Q6V1X1,L2,蛋白酶,Q86TI2,L2,蛋白酶,0.5991
P35372,L2,GPCR,P41145,L2,GPCR,0.5947
P41143,L2,GPCR,P41145,L2,GPCR,0.5914
P29274,L2,GPCR,P29275,L2,GPCR,0.5904
P03951,L2,蛋白酶,P03952,L2,蛋白酶,0.5872
P49760,L2,激酶,Q9HAZ1,L2,激酶,0.5759
P14416,L4,GPCR,P35462,L4,GPCR,0.5725
P49759,L2,激酶,P49760,L2,激酶,0.5579
P06239,L2,激酶,P06241,L2,激酶,0.5540
P06239,L2,激酶,P12931,L1,激酶,0.5344
O14638,L3,其他酶,P22413,L1,其他酶,0.5291
P35372,L2,GPCR,P41146,L2,GPCR,0.5216
P27487,L2,蛋白酶,Q12884,L2,蛋白酶,0.5197
O94921,L3,激酶,P24941,L2,激酶,0.5067
P41145,L2,GPCR,P41146,L2,GPCR,0.5027
P28223,L4,GPCR,P28335,L2,GPCR,0.4934
P41143,L2,GPCR,P41146,L2,GPCR,0.4919
P57059,L4,激酶,Q9H0K1,L4,激酶,0.4879
