uniprot,best_identity_conplex_bindingdb,in_dude_57
A0A0H3JRU9,0.0000,0
A0A0H3JXA8,0.0000,0
A0A143ZZK9,0.2790,0
A0A1D8PKB4,0.6280,0
A0R607,0.0000,0
A5HC98,0.0000,0
A5LHX3,0.0000,0
A6NDG6,0.0000,0
A6NHR9,0.0000,0
B0B9A0,0.0000,0
B0I1T2,0.3190,0
B2RXH2,0.0000,0
B4EYG1,0.0000,0
B4RNM9,0.3010,0
C0HJB3,0.0000,0
C7C422,0.0000,0
C7FF04,0.0000,0
C7FF05,0.0000,0
C9J9Y7,0.0000,0
D3ZUM2,0.0000,0
F1N2G0,0.0000,0
I6WXK4,0.0000,0
I6X8D2,0.0000,0
I6YFP0,0.9370,0
J9SQF3,0.5590,0
K9N638,0.0000,0
O00139,0.0000,0
O00141,0.6880,0
O00170,0.1900,0
O00182,0.9950,0
O00187,0.0000,0
O00203,0.0000,0
O00204,0.0000,0
O00206,0.0000,0
O00222,0.4510,0
O00231,0.0000,0
O00232,0.0000,0
O00238,0.9950,0
O00255,0.9410,0
O00311,0.0000,0
O00329,0.9750,0
O00408,0.3470,0
O00410,0.0000,0
O00411,0.0000,0
O00418,0.0000,0
O00422,0.0000,0
O00443,0.9550,0
O00444,0.9530,0
O00451,0.0000,0
O00459,0.0000,0
O00487,0.0000,0
O00505,0.0000,0
O00506,0.9660,0
O00512,0.0000,0
O00519,0.0000,0
O00571,0.0000,0
O00743,0.4470,0
O00748,0.3330,0
O00750,0.9800,0
O00763,0.0000,0
O00767,0.0000,0
O08593,0.0000,0
O08725,0.5170,0
O08914,0.0000,0
O09127,0.9440,0
O14497,0.0000,0
O14578,0.9230,0
O14638,0.0000,0
O14646,0.0000,0
O14684,0.0000,0
O14686,0.0000,0
O14730,0.9640,0
O14733,0.9650,0
O14744,0.0000,0
O14746,0.0000,0
O14757,0.9890,0
O14776,0.0000,0
O14786,0.0000,0
O14788,0.0000,0
O14818,0.0000,0
O14842,0.9670,0
O14874,0.3280,0
O14920,0.9550,0
O14929,0.0000,0
O14933,0.0000,0
O14936,0.9710,0
O14939,0.0000,0
O14965,0.9530,0
O14974,0.0000,0
O14976,0.9650,0
O14980,0.0000,0
O14986,0.6860,0
O15042,0.0000,0
O15047,0.0000,0
O15054,0.0000,0
O15068,0.0000,0
O15075,0.9430,0
O15111,0.9750,0
O15117,0.0000,0
O15143,0.0000,0
O15146,0.9750,0
O15151,0.9550,0
O15160,0.0000,0
O15197,0.9730,0
O15244,0.0000,0
O15245,0.1820,0
O15260,0.0000,0
O15264,0.9620,0
O15270,0.0000,0
O15294,0.0000,0
O15296,0.0000,0
O15303,0.4180,0
O15355,0.0000,0
O15357,0.0000,0
O15379,0.7150,0
O15392,0.9940,0
O15393,0.3700,0
O15399,0.2650,0
O15427,0.0000,0
O15438,0.3230,0
O15439,0.3240,0
O15496,0.4160,0
O15525,0.0000,0
O15530,0.9760,0
O15540,0.7160,0
O15550,0.0000,0
O15553,0.0000,0
O35129,0.0000,0
O35433,0.9570,0
O35435,0.9000,0
O35678,0.0000,0
O39930,0.0000,0
O42143,0.0000,0
O42275,0.9980,0
O42713,0.0000,0
O43143,0.0000,0
O43148,0.0000,0
O43151,0.0000,0
O43172,0.9840,0
O43175,0.9520,0
O43189,0.0000,0
O43193,0.7780,0
O43242,0.0000,0
O43293,0.9250,0
O43299,0.0000,0
O43318,0.9370,0
O43324,0.0000,0
O43353,0.9740,0
O43395,0.0000,0
O43451,0.0000,0
O43463,0.0000,0
O43497,0.2070,0
O43511,0.0000,0
O43525,0.0000,0
O43526,0.0000,0
O43570,0.9780,0
O43583,0.0000,0
O43592,0.0000,0
O43598,0.0000,0
O43613,0.9460,0
O43614,0.9540,0
O43670,0.0000,0
O43683,0.0000,0
O43707,0.0000,0
O43741,0.0000,0
O43765,0.0000,0
O43781,0.6230,0
O43791,0.0000,0
O43847,0.0000,0
O43913,0.0000,0
O43924,0.9630,0
O53580,0.0000,0
O54689,0.4060,0
O54890,0.0000,0
O55028,0.3270,0
O60218,0.7490,0
O60285,0.9500,0
O60307,0.5630,0
O60331,0.9250,0
O60341,0.9310,0
O60391,0.0000,0
O60427,0.0000,0
O60502,0.0000,0
O60547,0.0000,0
O60551,0.0000,0
O60563,0.0000,0
O60566,0.0000,0
O60603,0.0000,0
O60609,0.0000,0
O60658,0.0000,0
O60674,0.9920,1
O60678,0.0000,0
O60684,0.0000,0
O60729,0.0000,0
O60741,0.2680,0
O60760,1.0000,0
O60832,0.0000,0
O60885,0.8940,0
O60911,0.5360,0
O60928,0.0000,0
O60942,0.0000,0
O62664,0.7140,0
O70174,0.4020,0
O74198,0.0000,0
O75106,0.0000,0
O75116,0.9180,0
O75132,0.0000,0
O75143,0.0000,0
O75164,0.0000,0
O75173,0.0000,0
O75365,0.0000,0
O75385,0.9440,0
O75400,0.0000,0
O75417,0.0000,0
O75419,0.0000,0
O75460,0.9610,0
O75469,0.4170,0
O75530,0.9980,0
O75582,0.9580,0
O75604,0.0000,0
O75608,0.0000,0
O75676,0.9530,0
O75691,0.0000,0
O75716,0.9930,0
O75747,0.9480,0
O75751,0.1820,0
O75762,0.0000,0
O75874,0.0000,0
O75907,0.0000,0
O75908,0.0000,0
O75909,0.0000,0
O75914,0.9400,0
O75936,1.0000,0
O75940,0.0000,0
O75955,0.0000,0
O76039,0.9350,0
O76074,0.9590,0
