layer,uniprot,in_P_structure_half,in_L_affinity_half,plain_self_hit,plain_identity,plain_best_train_hit,plain_bin,union_self_hit,union_identity,union_bin
L1,P0DMS8,0,1,1.0,0.7440,P28647,>=60%,1.0,0.7440,>=60%
L1,P21554,0,1,1.0,0.9720,P20272,>=60%,1.0,0.9720,>=60%
L1,P28335,1,1,1.0,0.9000,P08909,>=60%,1.0,0.9000,>=60%
L1,P34972,0,1,1.0,0.8270,P47936,>=60%,1.0,0.8270,>=60%
L1,P41145,1,1,1.0,0.9470,P41144,>=60%,1.0,0.9470,>=60%
L1,P41595,1,1,1.0,0.5140,P28335,20-60%,1.0,0.5140,20-60%
L1,P50406,0,1,1.0,0.3790,P34971,20-60%,1.0,0.3790,20-60%
L1,P04798,0,1,1.0,0.7360,P05177,>=60%,1.0,0.7360,>=60%
L1,Q16678,0,1,1.0,0.4000,P04798,20-60%,1.0,0.4000,20-60%
L1,P41182,1,1,1.0,,,no_hit,1.0,,no_hit
L1,Q9NZQ7,1,1,1.0,,,no_hit,1.0,,no_hit
L1,P00915,1,1,1.0,0.8120,P00917,>=60%,1.0,0.8120,>=60%
L1,P01116,1,1,1.0,0.3710,Q15382,20-60%,1.0,0.8670,>=60%
L1,P0DTD1,0,1,1.0,0.8620,P0C6X7,>=60%,1.0,0.8620,>=60%
L1,P18031,1,1,1.0,0.8330,P35821,>=60%,1.0,0.8330,>=60%
L1,P22413,0,1,1.0,0.4580,Q9R1E6,20-60%,1.0,0.4580,20-60%
L1,P27338,1,1,1.0,0.9150,P56560,>=60%,1.0,0.9150,>=60%
L1,P31153,1,1,1.0,0.9840,P18298,>=60%,1.0,0.9840,>=60%
L1,P47989,0,1,1.0,0.8960,P80457,>=60%,1.0,0.8960,>=60%
L1,P49327,1,1,1.0,,,no_hit,1.0,,no_hit
L1,O75469,1,1,1.0,0.4190,P13053,20-60%,1.0,0.4240,20-60%
L1,O43353,1,1,1.0,0.3330,Q9Y572,20-60%,1.0,0.3330,20-60%
L1,O60674,1,1,1.0,0.9460,Q62689,>=60%,1.0,0.9460,>=60%
L1,P06239,1,1,1.0,0.7230,P08631,>=60%,1.0,0.7230,>=60%
L1,P07333,1,1,1.0,0.4180,P10721,20-60%,1.0,0.4180,20-60%
L1,P08581,1,1,1.0,,,no_hit,1.0,1.0000,>=60%
L1,P11362,1,1,1.0,0.7170,P21802,>=60%,1.0,0.7170,>=60%
L1,P11802,0,1,1.0,0.7100,Q00534,>=60%,1.0,0.7100,>=60%
L1,P12931,1,1,1.0,0.9880,Q9WUD9,>=60%,1.0,0.9880,>=60%
L1,P15056,1,1,1.0,0.9310,P28028,>=60%,1.0,0.9310,>=60%
L1,P22455,1,1,1.0,0.8970,Q03142,>=60%,1.0,0.8970,>=60%
L1,P23458,1,1,1.0,0.4690,P29597,20-60%,1.0,1.0000,>=60%
L1,P29597,1,1,1.0,0.7970,Q9R117,>=60%,1.0,0.7970,>=60%
L1,P30530,1,1,1.0,0.4440,Q12866,20-60%,1.0,0.4480,20-60%
L1,P35968,1,1,1.0,0.8570,P35918,>=60%,1.0,0.8570,>=60%
L1,P36888,0,1,1.0,0.3710,P07333,20-60%,1.0,0.3710,20-60%
L1,P50750,1,1,1.0,0.4130,P06493,20-60%,1.0,0.4130,20-60%
L1,P52333,1,1,1.0,0.8360,Q62137,>=60%,1.0,0.8360,>=60%
L1,Q05397,1,1,1.0,0.4620,Q9QVP9,20-60%,1.0,0.9450,>=60%
L1,Q13188,1,1,1.0,0.9570,Q9JI10,>=60%,1.0,0.9570,>=60%
L1,Q13627,1,1,1.0,0.9960,Q63470,>=60%,1.0,0.9960,>=60%
L1,Q92918,1,1,1.0,0.4400,Q8IVH8,20-60%,1.0,0.4400,20-60%
L1,Q9NWZ3,1,1,1.0,0.3230,P51617,20-60%,1.0,0.3230,20-60%
L1,P00734,1,1,1.0,0.8100,P00735,>=60%,1.0,0.8100,>=60%
L1,P34913,1,1,1.0,0.7300,P34914,>=60%,1.0,0.7300,>=60%
L1,P34914,1,1,1.0,0.9180,P80299,>=60%,1.0,0.9180,>=60%
L1,P53634,1,1,1.0,0.3520,Q02765,20-60%,1.0,0.3520,20-60%
L1,P56817,1,1,1.0,0.9640,P56818,>=60%,1.0,0.9640,>=60%
L1,Q9Y5Z0,1,1,1.0,0.8890,Q6IE75,>=60%,1.0,0.8890,>=60%
L1,O15379,0,1,1.0,0.6230,Q13547,>=60%,1.0,0.6230,>=60%
L1,O60341,1,1,1.0,0.2420,O64411,20-60%,1.0,0.2420,20-60%
L1,O60885,1,1,1.0,0.5590,P25440,20-60%,1.0,0.9310,>=60%
L1,Q13547,0,1,1.0,0.9930,O09106,>=60%,1.0,0.9930,>=60%
L1,Q92769,1,1,1.0,0.8610,O09106,>=60%,1.0,0.8610,>=60%
L1,Q9BY41,1,1,1.0,0.4340,Q92769,20-60%,1.0,0.4340,20-60%
L1,Q9UBN7,0,1,1.0,0.7470,Q9Z2V5,>=60%,1.0,0.7470,>=60%
L2,O43613,1,1,1.0,0.9170,P56718,>=60%,1.0,0.9170,>=60%
