model,layer,uniprot,apo_pdb,holo_pdb,align_rmsd,metric,holo,apo
drugclip,L3,P08519,1I71,8V8Z,0.37,ef1,3.9169,0.0000
drugclip,L3,P08519,1I71,8V8Z,0.37,auroc,0.9525,0.1754
drugclip,L3,P0DTC1,6Y2E,8HVU,1.65,ef1,16.8290,12.6217
drugclip,L3,P0DTC1,6Y2E,8HVU,1.65,auroc,0.5853,0.5740
drugclip,L3,P30405,3QYU,6R8L,0.25,ef1,15.4792,14.1893
drugclip,L3,P30405,3QYU,6R8L,0.25,auroc,0.8201,0.8112
drugclip,L3,P36222,1HJX,8R4X,0.86,ef1,1.1328,0.0000
drugclip,L3,P36222,1HJX,8R4X,0.86,auroc,0.7763,0.7060
drugclip,L3,P43220,6B3J,7C2E,3.3,ef1,0.7723,0.7723
drugclip,L3,P43220,6B3J,7C2E,3.3,auroc,0.5754,0.7812
drugclip,L3,Q15562,3L15,8YGQ,0.39,ef1,1.1079,0.5539
drugclip,L3,Q15562,3L15,8YGQ,0.39,auroc,0.8562,0.7949
drugclip,L3,Q92830,1F68,6J3P,1.4,ef1,0.0000,0.0000
drugclip,L3,Q92830,1F68,6J3P,1.4,auroc,0.5242,0.5315
drugclip,L4,O00411,3SPA,7A8P,3.13,ef1,2.1966,1.3179
drugclip,L4,O00411,3SPA,7A8P,3.13,auroc,0.6733,0.6490
drugclip,L4,P09871,4J1Y,8TYP,2.2,ef1,42.6440,3.0798
drugclip,L4,P09871,4J1Y,8TYP,2.2,auroc,0.9115,0.8804
drugclip,L4,P19525,2A1A,2A19,2.39,ef1,0.5479,0.5479
drugclip,L4,P19525,2A1A,2A19,2.39,auroc,0.4385,0.8282
drugclip,L4,P24864,1W98,7KJS,0.38,ef1,0.0000,17.4756
drugclip,L4,P24864,1W98,7KJS,0.38,auroc,0.5874,0.9564
drugclip,L4,P37840,8CE7,7WMM,3.78,ef1,0.0000,0.0000
drugclip,L4,P37840,8CE7,7WMM,3.78,auroc,0.7368,0.4521
drugclip,L4,P54278,1H7S,1H7U,0.57,ef1,47.4789,44.0048
drugclip,L4,P54278,1H7S,1H7U,0.57,auroc,0.9980,0.9973
drugclip,L4,Q5JRX3,4L3T,4RPU,0.19,ef1,0.0000,0.0000
drugclip,L4,Q5JRX3,4L3T,4RPU,0.19,auroc,0.3766,0.3010
drugclip,L4,Q6SZW1,6O0R,8D0E,0.24,ef1,16.4304,2.4646
drugclip,L4,Q6SZW1,6O0R,8D0E,0.24,auroc,0.8540,0.7895
bindclip_randneg,L3,P08519,1I71,8V8Z,0.37,ef1,6.5282,0.0000
bindclip_randneg,L3,P08519,1I71,8V8Z,0.37,auroc,0.9344,0.4408
bindclip_randneg,L3,P0DTC1,6Y2E,8HVU,1.65,ef1,24.1916,22.5555
bindclip_randneg,L3,P0DTC1,6Y2E,8HVU,1.65,auroc,0.8140,0.7929
bindclip_randneg,L3,P30405,3QYU,6R8L,0.25,ef1,29.6685,29.6685
bindclip_randneg,L3,P30405,3QYU,6R8L,0.25,auroc,0.9809,0.9808
bindclip_randneg,L3,P36222,1HJX,8R4X,0.86,ef1,10.1954,5.6641
bindclip_randneg,L3,P36222,1HJX,8R4X,0.86,auroc,0.8171,0.7591
bindclip_randneg,L3,P43220,6B3J,7C2E,3.3,ef1,0.0000,0.7723
bindclip_randneg,L3,P43220,6B3J,7C2E,3.3,auroc,0.6168,0.6863
bindclip_randneg,L3,Q15562,3L15,8YGQ,0.39,ef1,0.0000,0.0000
bindclip_randneg,L3,Q15562,3L15,8YGQ,0.39,auroc,0.6947,0.6041
bindclip_randneg,L3,Q92830,1F68,6J3P,1.4,ef1,0.0000,0.0000
bindclip_randneg,L3,Q92830,1F68,6J3P,1.4,auroc,0.8120,0.7280
bindclip_randneg,L4,O00411,3SPA,7A8P,3.13,ef1,0.8786,0.0000
bindclip_randneg,L4,O00411,3SPA,7A8P,3.13,auroc,0.4043,0.3472
bindclip_randneg,L4,P09871,4J1Y,8TYP,2.2,ef1,21.7958,29.1401
bindclip_randneg,L4,P09871,4J1Y,8TYP,2.2,auroc,0.8562,0.8828
bindclip_randneg,L4,P19525,2A1A,2A19,2.39,ef1,0.0000,0.0000
bindclip_randneg,L4,P19525,2A1A,2A19,2.39,auroc,0.4326,0.5274
bindclip_randneg,L4,P24864,1W98,7KJS,0.38,ef1,0.0000,26.2134
bindclip_randneg,L4,P24864,1W98,7KJS,0.38,auroc,0.4413,0.8772
bindclip_randneg,L4,P37840,8CE7,7WMM,3.78,ef1,0.8632,0.8632
bindclip_randneg,L4,P37840,8CE7,7WMM,3.78,auroc,0.6056,0.6175
bindclip_randneg,L4,P54278,1H7S,1H7U,0.57,ef1,18.5283,32.4246
bindclip_randneg,L4,P54278,1H7S,1H7U,0.57,auroc,0.9868,0.9918
bindclip_randneg,L4,Q5JRX3,4L3T,4RPU,0.19,ef1,0.0000,0.0000
bindclip_randneg,L4,Q5JRX3,4L3T,4RPU,0.19,auroc,0.5093,0.6662
bindclip_randneg,L4,Q6SZW1,6O0R,8D0E,0.24,ef1,21.3595,6.5721
bindclip_randneg,L4,Q6SZW1,6O0R,8D0E,0.24,auroc,0.5267,0.6334
