uniprot,layer,n_actives,n_decoys,protein_class,structure_grade,boltz_plddt,boltz_iptm
A0A1D8PKB4,L3,12,600,其他酶,A 实验结构,,
B4RNM9,L4,58,2900,其他/未分类,B 预测·置信达标,0.931,0.908
C7C422,L1,35,1750,其他酶,A 实验结构,,
C7C422,L2,73,3650,其他酶,A 实验结构,,
C7FF05,L3,92,4600,其他酶,B 预测·置信达标,0.861,0.933
C9J9Y7,L4,602,30100,其他/未分类,C 预测·置信不足,0.772,0.573
I6WXK4,L4,23,1150,其他酶,A 实验结构,,
I6YFP0,L2,11,550,其他酶,A 实验结构,,
J9SQF3,L4,650,32500,其他/未分类,A 实验结构,,
O00141,L1,31,1550,激酶,A 实验结构,,
O00141,L2,34,1700,激酶,A 实验结构,,
O00187,L4,338,16900,其他酶,A 实验结构,,
O00255,L2,399,19950,其他/未分类,A 实验结构,,
O00329,L1,182,9100,其他酶,A 实验结构,,
O00329,L2,819,40950,其他酶,A 实验结构,,
O00411,L4,227,11350,其他酶,A 实验结构,,
O00443,L4,99,4950,其他酶,A 实验结构,,
O00444,L1,13,650,激酶,A 实验结构,,
O00444,L2,36,1800,激酶,A 实验结构,,
O00519,L1,47,2350,其他酶,C 无置信度记录,,
O00519,L2,244,12200,其他酶,C 无置信度记录,,
O00748,L4,19,950,其他酶,B 预测·置信达标,0.866,0.926
O00750,L4,17,850,其他酶,B 预测·置信达标,0.878,0.973
O00763,L1,13,650,其他酶,A 实验结构,,
O00763,L2,46,2300,其他酶,A 实验结构,,
O00767,L4,37,1850,其他酶,A 实验结构,,
O14578,L4,152,7600,激酶,B 预测·置信达标,0.927,0.987
O14638,L3,91,4550,其他酶,A 实验结构,,
O14684,L2,125,6250,其他酶,A 实验结构,,
O14733,L2,16,800,激酶,A 实验结构,,
O14744,L1,24,1200,表观,A 实验结构,,
O14744,L2,814,40700,表观,A 实验结构,,
O14757,L1,13,650,激酶,A 实验结构,,
O14757,L2,190,9500,激酶,A 实验结构,,
O14842,L2,18,900,GPCR,A 实验结构,,
O14874,L4,106,5300,其他酶,A 实验结构,,
O14929,L4,34,1700,其他酶,A 实验结构,,
O14965,L1,23,1150,激酶,A 实验结构,,
O14965,L2,51,2550,激酶,A 实验结构,,
O14976,L2,33,1650,激酶,A 实验结构,,
O14980,L4,49,2450,其他/未分类,A 实验结构,,
O15151,L2,11,550,其他/未分类,A 实验结构,,
O15379,L1,141,7050,表观,A 实验结构,,
O15379,L2,413,20650,表观,A 实验结构,,
O15393,L4,40,2000,蛋白酶,A 实验结构,,
O35678,L2,10,500,其他酶,C 无置信度记录,,
O42275,L4,118,5900,其他酶,B 预测·置信达标,0.893,0.754
O43318,L2,15,750,激酶,A 实验结构,,
O43353,L1,246,12300,激酶,A 实验结构,,
O43353,L2,297,14850,激酶,A 实验结构,,
O43497,L2,155,7750,离子通道,A 实验结构,,
O43525,L4,26,1300,离子通道,C 无置信度记录,,
O43526,L3,27,1350,离子通道,A 实验结构,,
O43570,L1,250,12500,其他酶,A 实验结构,,
O43570,L2,239,11950,其他酶,A 实验结构,,
O43613,L2,99,4950,GPCR,A 实验结构,,
O43614,L2,145,7250,GPCR,A 实验结构,,
O43741,L4,15,750,激酶,C 无置信度记录,,
O43924,L2,14,700,其他酶,A 实验结构,,
O54890,L4,10,500,其他/未分类,B 预测·置信达标,0.823,0.849
O60218,L1,33,1650,其他酶,A 实验结构,,
O60285,L4,37,1850,激酶,C 预测·置信不足,0.528,0.990
O60331,L4,33,1650,其他酶,C 预测·置信不足,0.589,0.945
O60341,L1,104,5200,表观,A 实验结构,,
O60341,L2,807,40350,表观,A 实验结构,,
O60427,L4,236,11800,其他酶,B 预测·置信达标,0.928,0.915
O60502,L2,301,15050,其他酶,A 实验结构,,
O60563,L4,156,7800,其他/未分类,C 预测·置信不足,0.490,0.822
O60674,L1,228,11400,激酶,A 实验结构,,
O60674,L2,759,37950,激酶,A 实验结构,,
O60760,L2,31,1550,其他酶,A 实验结构,,
O60885,L1,58,2900,表观,A 实验结构,,
O60885,L2,576,28800,表观,A 实验结构,,
O75106,L4,61,3050,其他酶,B 预测·置信达标,0.906,0.615
O75116,L1,34,1700,激酶,A 实验结构,,
O75116,L2,301,15050,激酶,A 实验结构,,
O75143,L4,36,1800,其他/未分类,A 实验结构,,
O75173,L2,83,4150,蛋白酶,A 实验结构,,
O75365,L4,25,1250,其他酶,B 预测·置信达标,0.858,0.753
O75385,L1,10,500,激酶,A 实验结构,,
O75385,L2,408,20400,激酶,A 实验结构,,
O75417,L1,10,500,其他酶,A 实验结构,,
O75417,L2,1887,94350,其他酶,A 实验结构,,
O75460,L1,34,1700,其他酶,A 实验结构,,
O75460,L2,278,13900,其他酶,A 实验结构,,
O75469,L1,82,4100,核受体,A 实验结构,,
O75747,L4,229,11450,其他酶,C 预测·置信不足,0.630,0.961
O75762,L1,15,750,离子通道,A 实验结构,,
O75762,L2,241,12050,离子通道,A 实验结构,,
O75874,L1,29,1450,其他酶,A 实验结构,,
O75874,L2,60,3000,其他酶,A 实验结构,,
O75909,L4,169,8450,激酶,C 预测·置信不足,0.496,0.672
O75936,L2,23,1150,其他酶,A 实验结构,,
O76074,L1,54,2700,其他酶,A 实验结构,,
O76074,L2,28,1400,其他酶,A 实验结构,,
O76083,L1,15,750,其他酶,A 实验结构,,
O76083,L2,160,8000,其他酶,A 实验结构,,
O77963,L4,137,6850,其他/未分类,B 预测·置信达标,0.816,0.872
O88634,L4,66,3300,GPCR,B 预测·置信达标,0.788,0.953
O94782,L4,406,20300,蛋白酶,A 实验结构,,
O94921,L3,100,5000,激酶,C 预测·置信不足,0.666,0.972
O94956,L4,10,500,转运体,B 预测·置信达标,0.722,0.952
O95069,L4,18,900,离子通道,A 实验结构,,
O95271,L1,19,950,其他酶,A 实验结构,,
O95271,L2,55,2750,其他酶,A 实验结构,,
O95278,L4,18,900,其他/未分类,B 预测·置信达标,0.917,0.962
O95497,L2,118,5900,其他酶,A 实验结构,,
O95819,L1,16,800,激酶,A 实验结构,,
O95819,L2,66,3300,激酶,A 实验结构,,
O95835,L4,73,3650,激酶,C 预测·置信不足,0.476,0.979
O95931,L4,41,2050,表观,A 实验结构,,
O96013,L1,21,1050,激酶,A 实验结构,,
O96013,L2,35,1750,激酶,A 实验结构,,
O96017,L2,65,3250,激酶,A 实验结构,,
O96028,L1,22,1100,表观,A 实验结构,,
O96028,L2,77,3850,表观,A 实验结构,,
P00338,L1,11,550,其他酶,A 实验结构,,
P00338,L2,101,5050,其他酶,A 实验结构,,
P00352,L1,10,500,其他酶,A 实验结构,,
P00491,L1,26,1300,其他酶,A 实验结构,,
P00519,L1,47,2350,激酶,A 实验结构,,
P00519,L2,294,14700,激酶,A 实验结构,,
P00533,L1,467,23350,激酶,A 实验结构,,
P00533,L2,2047,102350,激酶,A 实验结构,,
P00734,L1,149,7450,蛋白酶,A 实验结构,,
P00734,L2,72,3600,蛋白酶,A 实验结构,,
P00742,L1,20,1000,蛋白酶,A 实验结构,,
P00742,L2,66,3300,蛋白酶,A 实验结构,,
P00746,L2,364,18200,蛋白酶,A 实验结构,,
P00748,L2,31,1550,蛋白酶,A 实验结构,,
P00751,L2,146,7300,蛋白酶,A 实验结构,,
P00797,L2,37,1850,蛋白酶,A 实验结构,,
P00915,L1,169,8450,其他酶,A 实验结构,,
P00915,L2,223,11150,其他酶,A 实验结构,,
P00918,L1,245,12250,其他酶,A 实验结构,,
P00918,L2,340,17000,其他酶,A 实验结构,,
P00956,L1,78,3900,其他酶,C 无置信度记录,,
P01111,L3,469,23450,其他酶,A 实验结构,,
P01116,L1,51,2550,其他酶,A 实验结构,,
