uniprot,layer,n_actives,n_decoys,protein_class,structure_grade,boltz_plddt,boltz_iptm
P0DMS8,L1,69,3450,GPCR,A 实验结构,,
P21554,L1,100,5000,GPCR,A 实验结构,,
P28335,L1,80,4000,GPCR,A 实验结构,,
P34972,L1,67,3350,GPCR,A 实验结构,,
P41145,L1,193,9650,GPCR,A 实验结构,,
P41595,L1,91,4550,GPCR,A 实验结构,,
P50406,L1,67,3350,GPCR,A 实验结构,,
P04798,L1,63,3150,P450,A 实验结构,,
Q16678,L1,107,5350,P450,A 实验结构,,
P41182,L1,63,3150,其他/未分类,A 实验结构,,
P01116,L1,51,2550,其他酶,A 实验结构,,
P18031,L1,116,5800,其他酶,A 实验结构,,
P22413,L1,189,9450,其他酶,A 实验结构,,
P27338,L1,155,7750,其他酶,A 实验结构,,
P31153,L1,63,3150,其他酶,A 实验结构,,
P47989,L1,55,2750,其他酶,A 实验结构,,
O75469,L1,82,4100,核受体,A 实验结构,,
O60674,L1,228,11400,激酶,A 实验结构,,
P06239,L1,68,3400,激酶,A 实验结构,,
P08581,L1,66,3300,激酶,A 实验结构,,
P11362,L1,56,2800,激酶,A 实验结构,,
P11802,L1,71,3550,激酶,A 实验结构,,
P12931,L1,91,4550,激酶,A 实验结构,,
P29597,L1,187,9350,激酶,A 实验结构,,
P30530,L1,50,2500,激酶,A 实验结构,,
P35968,L1,136,6800,激酶,A 实验结构,,
Q13188,L1,50,2500,激酶,A 实验结构,,
Q13627,L1,111,5550,激酶,A 实验结构,,
Q92918,L1,161,8050,激酶,A 实验结构,,
Q9NWZ3,L1,91,4550,激酶,A 实验结构,,
P00734,L1,149,7450,蛋白酶,A 实验结构,,
P34913,L1,124,6200,蛋白酶,A 实验结构,,
P34914,L1,99,4950,蛋白酶,A 实验结构,,
P53634,L1,58,2900,蛋白酶,A 实验结构,,
P56817,L1,260,13000,蛋白酶,A 实验结构,,
Q9Y5Z0,L1,227,11350,蛋白酶,A 实验结构,,
O60341,L1,104,5200,表观,A 实验结构,,
O60885,L1,58,2900,表观,A 实验结构,,
