uniprot,layer,n_actives,n_decoys,protein_class,structure_grade,boltz_plddt,boltz_iptm
P0DMS8,L1,69,3450,GPCR,A experimental,,
P21554,L1,100,5000,GPCR,A experimental,,
P28335,L1,80,4000,GPCR,A experimental,,
P34972,L1,67,3350,GPCR,A experimental,,
P41145,L1,193,9650,GPCR,A experimental,,
P41595,L1,91,4550,GPCR,A experimental,,
P50406,L1,67,3350,GPCR,A experimental,,
P04798,L1,63,3150,P450,A experimental,,
Q16678,L1,107,5350,P450,A experimental,,
P41182,L1,63,3150,其他/未分类,A experimental,,
Q9NZQ7,L1,85,4250,其他/未分类,A experimental,,
P00915,L1,169,8450,其他酶,A experimental,,
P01116,L1,51,2550,其他酶,A experimental,,
P0DTD1,L1,420,21000,其他酶,A experimental,,
P18031,L1,116,5800,其他酶,A experimental,,
P22413,L1,189,9450,其他酶,A experimental,,
P27338,L1,155,7750,其他酶,A experimental,,
P31153,L1,63,3150,其他酶,A experimental,,
P47989,L1,55,2750,其他酶,A experimental,,
P49327,L1,665,33250,其他酶,A experimental,,
O75469,L1,82,4100,核受体,A experimental,,
O43353,L1,246,12300,激酶,A experimental,,
O60674,L1,228,11400,激酶,A experimental,,
P06239,L1,68,3400,激酶,A experimental,,
P07333,L1,103,5150,激酶,A experimental,,
P08581,L1,66,3300,激酶,A experimental,,
P11362,L1,56,2800,激酶,A experimental,,
P11802,L1,71,3550,激酶,A experimental,,
P12931,L1,91,4550,激酶,A experimental,,
P15056,L1,58,2900,激酶,A experimental,,
P22455,L1,55,2750,激酶,A experimental,,
P23458,L1,197,9850,激酶,A experimental,,
P29597,L1,187,9350,激酶,A experimental,,
P30530,L1,50,2500,激酶,A experimental,,
P35968,L1,136,6800,激酶,A experimental,,
P36888,L1,84,4200,激酶,A experimental,,
P50750,L1,67,3350,激酶,A experimental,,
P52333,L1,256,12800,激酶,A experimental,,
Q05397,L1,90,4500,激酶,A experimental,,
Q13188,L1,50,2500,激酶,A experimental,,
Q13627,L1,111,5550,激酶,A experimental,,
Q92918,L1,161,8050,激酶,A experimental,,
Q9NWZ3,L1,91,4550,激酶,A experimental,,
P00734,L1,149,7450,蛋白酶,A experimental,,
P34913,L1,124,6200,蛋白酶,A experimental,,
P34914,L1,99,4950,蛋白酶,A experimental,,
P53634,L1,58,2900,蛋白酶,A experimental,,
P56817,L1,260,13000,蛋白酶,A experimental,,
Q9Y5Z0,L1,227,11350,蛋白酶,A experimental,,
O15379,L1,141,7050,表观,A experimental,,
O60341,L1,104,5200,表观,A experimental,,
O60885,L1,58,2900,表观,A experimental,,
Q13547,L1,361,18050,表观,A experimental,,
Q92769,L1,127,6350,表观,A experimental,,
Q9BY41,L1,104,5200,表观,A experimental,,
Q9UBN7,L1,426,21300,表观,A experimental,,
O43613,L2,99,4950,GPCR,A experimental,,
O43614,L2,145,7250,GPCR,A experimental,,
P08173,L2,78,3900,GPCR,A experimental,,
P08908,L2,207,10350,GPCR,A experimental,,
P0DMS8,L2,50,2500,GPCR,A experimental,,
P18825,L2,125,6250,GPCR,A experimental,,
P21554,L2,53,2650,GPCR,A experimental,,
P28335,L2,296,14800,GPCR,A experimental,,
P29274,L2,777,38850,GPCR,A experimental,,
P29275,L2,358,17900,GPCR,A experimental,,
P30542,L2,114,5700,GPCR,A experimental,,
P31391,L2,100,5000,GPCR,A experimental,,
P32245,L2,208,10400,GPCR,A experimental,,
P34972,L2,63,3150,GPCR,A experimental,,
P35372,L2,197,9850,GPCR,A experimental,,
P41143,L2,92,4600,GPCR,A experimental,,
P41145,L2,526,26300,GPCR,A experimental,,
P41146,L2,54,2700,GPCR,A experimental,,
P50406,L2,56,2800,GPCR,A experimental,,
P61073,L2,52,2600,GPCR,A experimental,,
Q14833,L2,171,8550,GPCR,A experimental,,
Q92633,L2,560,28000,GPCR,A experimental,,
Q9H3N8,L2,55,2750,GPCR,A experimental,,
Q14145,L2,124,6200,其他/未分类,A experimental,,
Q16552,L2,262,13100,其他/未分类,A experimental,,
Q86WV6,L2,170,8500,其他/未分类,A experimental,,
Q8R4B8,L2,58,2900,其他/未分类,A experimental,,
Q99814,L2,114,5700,其他/未分类,A experimental,,
O14684,L2,125,6250,其他酶,A experimental,,
O43570,L2,239,11950,其他酶,A experimental,,
O60502,L2,301,15050,其他酶,A experimental,,
O95497,L2,118,5900,其他酶,A experimental,,
P01116,L2,3262,142379,其他酶,A experimental,,
P04293,L2,355,17750,其他酶,A experimental,,
P06276,L2,139,6950,其他酶,A experimental,,
P15428,L2,361,18050,其他酶,A experimental,,
P22413,L2,524,26200,其他酶,A experimental,,
P27338,L2,124,6200,其他酶,A experimental,,
P42330,L2,77,3850,其他酶,A experimental,,
P43490,L2,482,24100,其他酶,A experimental,,
P47205,L2,147,7350,其他酶,A experimental,,
P50053,L2,944,47200,其他酶,A experimental,,
P53396,L2,59,2950,其他酶,A experimental,,
Q06124,L2,487,24350,其他酶,A experimental,,
Q13489,L2,211,10550,其他酶,C no confidence recorded,,
Q15125,L2,177,8850,其他酶,A experimental,,
Q16769,L2,67,3350,其他酶,A experimental,,
Q32ZE1,L2,150,7500,其他酶,A experimental,,
Q6ZQW0,L2,54,2700,其他酶,C no confidence recorded,,
Q72547,L2,64,3200,其他酶,A experimental,,
Q86W56,L2,341,17050,其他酶,A experimental,,
Q8N884,L2,308,15400,其他酶,A experimental,,
Q8NEB9,L2,57,2850,其他酶,A experimental,,
Q9UGN5,L2,164,8200,其他酶,A experimental,,
Q9Y251,L2,53,2650,其他酶,A experimental,,
P03372,L2,218,10900,核受体,A experimental,,
P04150,L2,286,14300,核受体,A experimental,,
P10275,L2,145,7250,核受体,A experimental,,
P11474,L2,199,9950,核受体,A experimental,,
Q96RI1,L2,61,3050,核受体,A experimental,,
O14757,L2,190,9500,激酶,A experimental,,
O75116,L2,301,15050,激酶,A experimental,,
O75385,L2,408,20400,激酶,A experimental,,
O95819,L2,66,3300,激酶,A experimental,,
O96017,L2,65,3250,激酶,A experimental,,
P00519,L2,294,14700,激酶,A experimental,,
P00533,L2,2047,102350,激酶,A experimental,,
P04049,L2,656,32800,激酶,A experimental,,
P04626,L2,1004,50200,激酶,A experimental,,
P06239,L2,715,35750,激酶,A experimental,,
P06241,L2,54,2700,激酶,A experimental,,
P07333,L2,773,38650,激酶,A experimental,,
P07949,L2,263,13150,激酶,A experimental,,
P08069,L2,359,17950,激酶,A experimental,,
P08581,L2,831,41550,激酶,A experimental,,
P08922,L2,51,2550,激酶,A experimental,,
P09619,L2,429,21450,激酶,C no confidence recorded,,
P10398,L2,103,5150,激酶,A experimental,,
P11309,L2,66,3300,激酶,A experimental,,
P11362,L2,501,25050,激酶,A experimental,,
P11802,L2,1402,70100,激酶,A experimental,,
P21802,L2,484,24200,激酶,A experimental,,
P22455,L2,116,5800,激酶,A experimental,,
P22607,L2,384,19200,激酶,A experimental,,
P23458,L2,622,31100,激酶,A experimental,,
P24941,L2,1629,81450,激酶,A experimental,,
P28482,L2,665,33250,激酶,A experimental,,
P29597,L2,1372,68600,激酶,A experimental,,
P30530,L2,928,46400,激酶,A experimental,,
P31749,L2,213,10650,激酶,A experimental,,
P31751,L2,118,5900,激酶,A experimental,,
P35916,L2,71,3550,激酶,C no confidence recorded,,
P35968,L2,927,46350,激酶,A experimental,,
P36888,L2,506,25300,激酶,A experimental,,
P41240,L2,174,8700,激酶,A experimental,,
P42345,L2,80,4000,激酶,A experimental,,
P43405,L2,104,5200,激酶,A experimental,,
P48729,L2,134,6700,激酶,A experimental,,
P48730,L2,144,7200,激酶,A experimental,,
P49759,L2,134,6700,激酶,A experimental,,
P49760,L2,257,12850,激酶,A experimental,,
P49841,L2,1407,70350,激酶,A experimental,,
P50750,L2,192,9600,激酶,A experimental,,
P53350,L2,107,5350,激酶,A experimental,,
P53667,L2,62,3100,激酶,A experimental,,
P53671,L2,66,3300,激酶,A experimental,,
P53779,L2,65,3250,激酶,A experimental,,
P78527,L2,632,31600,激酶,A experimental,,
P80192,L2,58,2900,激酶,A experimental,,
Q00534,L2,1091,54550,激酶,A experimental,,
Q06187,L2,977,48850,激酶,A experimental,,
Q13315,L2,216,10800,激酶,A experimental,,
Q13464,L2,183,9150,激酶,A experimental,,
Q13546,L2,588,29400,激酶,A experimental,,
Q15119,L2,112,5600,激酶,A experimental,,
Q16288,L2,166,8300,激酶,A experimental,,
Q16584,L2,93,4650,激酶,C no confidence recorded,,
