uniprot,n_actives,n_total,protein_class,structure_grade,best_model,best_ef1,median_ef1,median_auroc,ef1_ligunity_protein_ranking,ef1_ligunity_pocket_ranking,ef1_hypseek_rk,ef1_hypseek_official_vs,ef1_litenclip,ef1_litenclip_v2,ef1_drugclip,ef1_bindclip_randneg,ef1_bindclip_hardneg,ef1_conglude,ef1_conplex,ef1_sprint
O00411,227,11568,其他酶,A 实验结构,sprint,3.0776,0.0000,0.3888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.1966,0.8786,0.0000,0.0000,2.1983,3.0776
O00443,99,5042,其他酶,A 实验结构,bindclip_hardneg,8.9875,0.0000,0.5118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9875,0.0000,0.0000,2.0000
O60427,236,12028,其他酶,B 预测·置信达标,drugclip,22.3240,0.0000,0.5819,0.0000,0.0000,11.3726,0.0000,0.8424,0.0000,22.3240,2.1060,0.4212,0.0000,0.0000,0.0000
O75747,229,11664,其他酶,C 预测·置信不足,conglude,0.4359,0.0000,0.5788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4353,0.0000,0.0000,0.4359,0.0000,0.0000
O95835,73,3720,激酶,C 预测·置信不足,bindclip_randneg,49.6179,3.3526,0.7780,1.3410,4.0231,4.0231,2.6820,4.0231,1.3410,48.2769,49.6179,33.5256,0.0000,1.3421,1.3421
P08546,82,4178,其他酶,C 预测·置信不足,drugclip,14.5575,0.0000,0.5078,0.0000,2.4262,0.0000,0.0000,0.0000,0.0000,14.5575,0.0000,4.8525,0.0000,0.0000,0.0000
P09871,421,21444,蛋白酶,A 实验结构,litenclip_v2,50.6990,43.1178,0.9509,44.7762,47.1453,45.7238,42.6440,43.5916,50.6990,42.6440,21.7958,1.1846,47.9163,0.0000,1.4233
P11166,67,3515,转运体,A 实验结构,hypseek_official_vs,1.4573,0.0000,0.4415,0.0000,0.0000,0.0000,1.4573,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P14060,74,3768,其他酶,B 预测·置信达标,bindclip_randneg,17.4196,0.6711,0.7117,0.0000,0.0000,0.0000,0.0000,8.0398,0.0000,2.6799,17.4196,4.0199,0.0000,1.3421,5.3684
P14416,320,16307,GPCR,A 实验结构,ligunity_protein_ranking,47.8521,20.8188,0.9085,47.8521,25.7904,41.0161,33.8693,35.7337,35.1123,15.8471,12.1184,1.8644,2.1768,7.7744,0.9329
P16788,454,23125,其他酶,C 预测·置信不足,ligunity_protein_ranking,0.0000,0.0000,0.4346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P19525,181,9223,激酶,A 实验结构,sprint,2.1935,0.0000,0.6180,0.0000,0.0000,0.0000,0.0000,0.5479,0.0000,0.5479,0.0000,0.0000,0.0000,0.0000,2.1935
P21917,65,3312,GPCR,A 实验结构,ligunity_protein_ranking,37.4661,18.7330,0.8708,37.4661,8.9919,13.4878,20.9810,19.4824,22.4796,17.9837,19.4824,2.9973,19.5000,7.5000,3.0000
P22001,351,17880,离子通道,C 预测·置信不足,ligunity_protein_ranking,0.8537,0.0000,0.6395,0.8537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P25929,102,5198,GPCR,A 实验结构,ligunity_protein_ranking,20.5803,0.9800,0.7547,20.5803,13.2302,14.7002,0.0000,0.0000,1.9600,0.0000,1.9600,0.0000,5.7736,0.0000,0.0000
P30990,76,3874,其他/未分类,C 预测·置信不足,drugclip,9.1491,0.0000,0.5947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1491,0.0000,0.0000,0.0000,5.2308,0.0000
P34969,101,5145,GPCR,A 实验结构,ligunity_pocket_ranking,45.0628,19.1027,0.8760,21.5518,45.0628,26.4499,43.1036,33.3073,35.2666,16.6537,13.7148,4.8981,13.7308,5.8846,0.0000
P35462,109,5553,GPCR,A 实验结构,ligunity_protein_ranking,38.2087,14.1008,0.8113,38.2087,29.5663,15.4654,31.8406,25.4725,34.5698,12.7362,8.1876,0.9097,2.7321,1.8214,10.9286
P37840,115,5857,其他/未分类,A 实验结构,litenclip,4.3161,0.0000,0.5699,0.0000,0.8632,0.0000,0.0000,4.3161,0.0000,0.0000,0.8632,0.8632,2.5932,0.0000,0.0000
P50052,214,10903,GPCR,A 实验结构,litenclip,32.4218,2.5474,0.7466,2.3158,2.7790,0.9263,0.4632,32.4218,2.3158,19.4531,11.5792,3.2422,0.0000,0.9273,3.2455
P52429,81,4124,其他酶,B 预测·置信达标,ligunity_protein_ranking,0.0000,0.0000,0.6756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P54278,85,4331,其他酶,A 实验结构,hypseek_official_vs,48.6369,36.4953,0.9885,32.4246,46.3209,44.0048,48.6369,34.7406,2.3160,47.4789,18.5283,47.4789,38.2500,0.0000,13.9091
P57059,84,4281,激酶,C 预测·置信不足,litenclip_v2,40.2973,8.8891,0.8652,27.2600,9.4817,8.2965,8.2965,15.4078,40.2973,10.6669,2.3704,10.6669,0.0000,2.3721,3.5581
Q10469,171,8712,其他酶,A 实验结构,ligunity_protein_ranking,0.0000,0.0000,0.5777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q13233,58,2957,激酶,B 预测·置信达标,hypseek_rk,8.4971,0.0000,0.5023,0.0000,1.6994,8.4971,0.0000,0.0000,3.3989,0.0000,0.0000,0.0000,0.0000,1.7000,0.0000
