uniprot,layers,best_train_hit,identity,qcov,tcov,alnlen,self_hit
A0A1D8PKB4,L3,P40233,0.6830,0.618,0.682,306,0.000
B4RNM9,L4,P0AEK4,0.6100,0.985,0.977,257,0.000
C7C422,L1|L2,B8QIQ9,0.3730,0.922,0.891,249,1.000
C7FF05,L3,O42713,0.6350,0.903,0.989,552,0.000
C9J9Y7,L4,Q5JUK3,0.9940,0.975,0.959,1186,0.000
I6WXK4,L4,P96830,1.0000,1.000,1.000,276,0.000
I6YFP0,L2,P96884,1.0000,1.000,1.000,266,1.000
J9SQF3,L4,O94759,0.3220,0.710,0.752,1230,0.000
O00141,L1|L2,P31751,0.5230,0.694,0.622,299,1.000
O00187,L4,Q9Y5Y6,0.2520,0.950,0.730,652,0.000
O00255,L2,O88559,0.9630,1.000,1.000,611,1.000
O00329,L1|L2,Q3UDT3,0.9460,1.000,1.000,1044,1.000
O00411,L4,,,,,,0.000
O00443,L4,,,,,,1.000
O00444,L1|L2,,,,,,1.000
O00519,L1|L2,P97612,0.8270,1.000,1.000,579,1.000
O00748,L4,P23141,0.4680,0.955,0.970,550,0.000
O00750,L4,O00443,0.5160,0.804,0.785,1323,0.000
O00763,L1|L2,Q59GJ9,0.9980,0.681,0.992,1675,1.000
O00767,L4,,,,,,0.000
O14578,L4,Q5VT25,0.2540,0.892,0.838,1808,0.000
O14638,L3,P22413,0.5290,0.985,0.935,865,0.000
O14684,L2,,,,,,1.000
O14733,L2,P52564,0.4380,0.783,0.949,328,1.000
O14744,L1|L2,,,,,,1.000
O14757,L1|L2,F0V9W9,0.3610,0.529,0.500,253,1.000
O14842,L2,Q8K3T4,0.8160,1.000,1.000,300,1.000
O14874,L4,Q00972,0.9560,1.000,1.000,412,0.000
O14929,L4,Q12341,0.2540,0.952,0.979,399,0.000
O14965,L1|L2,P97477,0.8380,0.968,0.965,390,1.000
O14976,L2,,,,,,1.000
O14980,L4,,,,,,0.000
O15151,L2,Q4V944,0.4810,1.000,1.000,496,1.000
O15379,L1|L2,Q13547,0.6230,0.911,0.805,390,1.000
O15393,L4,P00760,0.3680,0.510,0.967,251,0.000
O35678,L2,Q99685,0.8410,1.000,1.000,303,1.000
O42275,L4,P04058,0.6470,0.910,0.928,576,0.000
O43318,L2,,,,,,1.000
O43353,L1|L2,Q9Y572,0.3330,0.533,0.537,288,1.000
O43497,L2,O95180,0.5570,0.968,0.921,2302,1.000
O43525,L4,P56696,0.4730,0.692,0.912,634,0.000
O43526,L3,P56696,0.5640,0.713,0.882,622,0.000
O43570,L1|L2,Q9ULX7,0.4340,0.915,0.947,324,1.000
O43613,L2,P56718,0.9170,0.998,0.998,424,1.000
O43614,L2,P56719,0.9430,1.000,0.963,444,1.000
O43741,L4,P80386,0.6990,1.000,1.000,272,0.000
O43924,L2,,,,,,1.000
O54890,L4,Q8R2H2,0.9610,1.000,1.000,787,0.000
O60218,L1,Q5RJP0,0.7810,1.000,1.000,316,1.000
O60285,L4,,,,,,0.000
O60331,L4,O70161,0.9160,1.000,1.000,668,0.000
O60341,L1|L2,O64411,0.2420,0.637,0.892,543,1.000
O60427,L4,,,,,,0.000
O60502,L2,Q8VIJ5,0.9730,1.000,1.000,916,1.000
O60563,L4,,,,,,0.000
O60674,L1|L2,Q62689,0.9460,0.999,0.999,1131,1.000
O60760,L2,P30113,0.3370,0.734,0.730,154,1.000
O60885,L1|L2,Q9ESU6,0.9310,1.000,1.000,1400,1.000
O75106,L4,Q16853,0.6530,1.000,0.996,760,0.000
O75116,L1|L2,Q13464,0.6580,0.975,0.987,1353,1.000
O75143,L4,,,,,,0.000
O75173,L2,Q9UHI8,0.5030,0.914,0.835,807,1.000
O75365,L4,,,,,,0.000
O75385,L1|L2,Q8IYT8,0.5180,0.987,0.992,1036,1.000
O75417,L1|L2,,,,,,1.000
O75460,L1|L2,Q9EQY0,0.9290,1.000,1.000,977,1.000
O75469,L1,Q9PTN2,0.4240,0.906,0.876,397,1.000
O75747,L4,O00443,0.3590,0.867,0.798,1346,0.000
O75762,L1|L2,Q6RI86,0.8000,0.996,0.993,1117,1.000
O75874,L1|L2,P48735,0.7070,0.957,0.876,396,1.000
O75909,L4,G3V5E1,1.0000,0.641,0.984,372,0.000
O75936,L2,,,,,,1.000
O76074,L1|L2,O77746,0.9770,0.973,0.984,851,1.000
O76083,L1|L2,Q53Y40,1.0000,1.000,1.000,593,1.000
O77963,L4,,,,,,0.000
O88634,L4,Q96RI0,0.7550,0.987,0.984,391,0.000
O94782,L4,,,,,,0.000
O94921,L3,Q00536,0.6010,0.680,0.637,319,0.000
O94956,L4,,,,,,0.000
O95069,L4,O14649,0.3130,0.622,0.645,265,0.000
O95271,L1|L2,Q6PFX9,0.9690,1.000,1.000,1327,1.000
O95278,L4,,,,,,0.000
O95497,L2,Q9Z0K8,0.7630,0.981,0.980,503,1.000
O95819,L1|L2,Q9UKE5,0.6460,1.000,1.000,1360,1.000
O95835,L4,,,,,,0.000
O95931,L4,Q8VDS3,0.5600,0.996,0.994,250,1.000
O96013,L1|L2,Q9P286,0.5190,0.997,0.997,717,1.000
O96017,L2,Q9HBS5,1.0000,1.000,1.000,543,1.000
O96028,L1|L2,Q9BZ95,0.4720,0.892,0.884,1270,1.000
