target,uniprot,best_identity_to_conplex_bindingdb_train
aa2ar,P29274,0.9480
abl1,P00519,0.9500
ace,P12821,0.0000
aces,P04058,0.9910
ada,P56658,0.0000
ada17,P78536,0.0000
adrb1,P07700,0.6610
adrb2,P07550,0.9700
akt1,P31749,0.9830
akt2,P31751,0.9850
aldr,P15121,0.9940
ampc,P00811,0.7410
andr,P10275,0.9300
aofb,P27338,0.1610
bace1,P56817,0.9880
braf,P15056,0.9500
cah2,P00918,1.0000
casp3,P42574,0.0000
cdk2,P24941,0.9770
comt,P21964,0.0000
cp2c9,P11712,0.6250
cp3a4,P08684,0.9640
csf1r,P11362,0.9750
cxcr4,P61073,0.4120
def,P0A6K3,0.0000
dhi1,P28845,0.0000
dpp4,P27487,0.9990
drd3,P35462,0.7670
dyr,P00374,0.9820
egfr,P00533,0.9970
esr1,P03372,0.9650
esr2,Q92731,0.9690
fa10,P00742,0.3630
fa7,P08709,0.3730
fabp4,P15090,0.9660
fak1,Q05397,0.9630
fgfr1,P11362,0.9750
fkb1a,P62942,1.0000
fnta,P49354,0.0000
fpps,P14324,0.0000
gcr,P04150,0.5140
glcm,P04062,0.0000
gria2,P19491,0.9590
grik1,P22756,0.9670
hdac2,Q92769,0.8590
hdac8,Q9BY41,0.9940
hivint,P12497,0.0000
hivpr,P03367,0.0000
hivrt,P04585,0.0000
hmdh,P04035,0.0000
hs90a,P07900,0.9190
hxk4,P35557,0.0000
igf1r,P08069,0.9900
inha,P9WGR0,0.9490
ital,P20701,0.9650
jak2,O60674,0.9920
kif11,P52732,0.9200
kit,P10721,0.9790
kith,Q9PPP5,0.0000
kpcb,P05771,0.9970
lck,P06239,1.0000
lkha4,P09960,0.9810
mapk2,P49137,0.9550
mcr,P08235,0.9440
met,P08581,0.9810
mk01,P28482,0.9800
mk10,P53779,0.9660
mk14,Q16539,0.9740
mmp13,P45452,0.5520
mp2k1,Q02750,0.9620
nos1,P29476,0.0000
nram,P03474,0.0000
pa2ga,P14555,0.4490
parp1,P09874,0.9470
pde5a,O76074,0.9590
pgh1,P05979,0.7070
pgh2,Q05769,0.8900
plk1,P53350,0.9610
pnph,P00491,0.9820
ppara,Q07869,0.9670
ppard,Q03181,0.7030
pparg,P37231,0.9600
prgr,P06401,0.9390
ptn1,P18031,0.9840
pur2,P22102,0.0000
pygm,P00489,0.0000
pyrd,Q02127,0.8550
reni,P00797,0.9840
rock1,Q13464,0.9180
rxra,P19793,0.9580
sahh,P23526,0.0000
src,P00523,0.9860
tgfr1,P36897,0.9680
thb,P10828,0.9940
thrb,P00734,1.0000
try1,P00760,0.9770
tryb1,Q15661,0.3870
tysy,P0A884,0.5460
urok,P00749,1.0000
vgfr2,P35968,0.9670
wee1,P30291,0.9480
xiap,P98170,1.0000
