layer,uniprot,d_train,d_control,delta,nearest_train
L1,O00141,0.1370,0.1405,-0.0035,
L1,O00329,0.1112,0.1112,-0.0000,
L1,O00444,0.0980,0.0973,0.0007,
L1,O00763,0.0772,0.1149,-0.0377,
L1,O14744,0.0943,0.0893,0.0050,
L1,O14757,0.0947,0.1164,-0.0217,
L1,O14965,0.1160,0.1140,0.0020,
L1,O15379,0.0938,0.1163,-0.0226,
L1,O43353,0.1169,0.1270,-0.0101,
L1,O43570,0.1040,0.1240,-0.0200,
L1,O60218,0.0293,0.1089,-0.0796,
L1,O60341,0.1157,0.1187,-0.0029,
L1,O60674,0.0469,0.0952,-0.0483,
L1,O60885,0.0261,0.0801,-0.0541,
L1,O75116,0.0959,0.1263,-0.0304,
L1,O75385,0.1182,0.1273,-0.0091,
L1,O75417,0.1071,0.0943,0.0127,
L1,O75460,0.1251,0.1250,0.0000,
L1,O75469,0.1175,0.1179,-0.0004,
L1,O75874,0.1080,0.1300,-0.0220,
L1,O76074,0.1078,0.1123,-0.0044,
L1,O76083,0.1286,0.1246,0.0040,
L1,O95271,0.1201,0.1135,0.0066,
L1,O95819,0.0826,0.0912,-0.0086,
L1,O96013,0.0754,0.1150,-0.0396,
L1,O96028,0.0644,0.1145,-0.0501,
L1,P00338,0.0421,0.0866,-0.0445,
L1,P00491,0.1107,0.1125,-0.0018,
L1,P00519,0.0518,0.0849,-0.0330,
L1,P00533,0.0856,0.1103,-0.0247,
L1,P00734,0.1028,0.0948,0.0080,
L1,P00742,0.1158,0.1153,0.0005,
L1,P00915,0.1079,0.1078,0.0002,
L1,P00918,0.1104,0.1170,-0.0067,
L1,P01116,0.0650,0.0897,-0.0247,
L1,P03372,0.0630,0.1154,-0.0524,
L1,P04049,0.0954,0.1174,-0.0221,
L1,P04626,0.0856,0.0853,0.0003,
L1,P04629,0.1162,0.1186,-0.0024,
L1,P04798,0.0894,0.1165,-0.0271,
L1,P05089,0.0654,0.1117,-0.0463,
L1,P05177,0.0964,0.1286,-0.0322,
L1,P05771,0.0274,0.1115,-0.0842,
L1,P06213,0.0658,0.1037,-0.0380,
L1,P06239,0.0617,0.0700,-0.0083,
L1,P06276,0.1043,0.0929,0.0114,
L1,P06493,0.0811,0.1168,-0.0356,
L1,P07333,0.1052,0.1111,-0.0059,
L1,P07711,0.0916,0.1310,-0.0394,
L1,P07900,0.0871,0.1261,-0.0390,
L1,P07947,0.0342,0.0914,-0.0572,
L1,P07948,0.0394,0.0728,-0.0334,
L1,P07949,0.0891,0.0976,-0.0085,
L1,P08069,0.0658,0.1205,-0.0547,
L1,P08238,0.0871,0.1274,-0.0402,
L1,P08246,0.1113,0.1113,0.0001,
L1,P08253,0.0545,0.1084,-0.0539,
L1,P08581,0.1129,0.1102,0.0028,
L1,P08922,0.0909,0.1033,-0.0124,
L1,P09619,0.1030,0.0895,0.0134,
L1,P09874,0.1068,0.1038,0.0029,
L1,P10275,0.0975,0.1085,-0.0110,
L1,P10721,0.0950,0.1072,-0.0122,
L1,P11309,0.0897,0.1217,-0.0320,
L1,P11362,0.0572,0.1102,-0.0530,
L1,P11511,0.1143,0.1113,0.0030,
L1,P11802,0.1124,0.1226,-0.0102,
L1,P12931,0.0424,0.0752,-0.0328,
L1,P13569,0.0832,0.0844,-0.0012,
L1,P14324,0.0960,0.0986,-0.0026,
L1,P14618,0.1031,0.0915,0.0116,
L1,P14679,0.1456,0.1452,0.0004,
L1,P14920,0.0990,0.1016,-0.0026,
L1,P15056,0.0954,0.1117,-0.0163,
L1,P15121,0.0293,0.1229,-0.0936,
L1,P15538,0.0471,0.1199,-0.0728,
L1,P16050,0.1160,0.1070,0.0090,
L1,P16083,0.1256,0.1272,-0.0016,
L1,P16234,0.1150,0.1006,0.0143,
L1,P17252,0.0274,0.1099,-0.0826,
L1,P17706,0.0406,0.1143,-0.0737,
L1,P17931,0.1124,0.1168,-0.0045,
L1,P18031,0.0406,0.0922,-0.0516,
L1,P19099,0.0471,0.1115,-0.0644,
L1,P19634,0.1119,0.1066,0.0053,
L1,P19793,0.0222,0.1105,-0.0883,
L1,P21397,0.0187,0.0949,-0.0762,
L1,P21589,0.1162,0.0900,0.0262,
L1,P21802,0.0499,0.1104,-0.0605,
L1,P21964,0.1109,0.1167,-0.0058,
L1,P22303,0.1113,0.1155,-0.0041,
L1,P22413,0.1389,0.1386,0.0003,
L1,P22455,0.0572,0.0967,-0.0395,
L1,P22607,0.0499,0.1148,-0.0649,
L1,P22748,0.1174,0.1146,0.0027,
L1,P23458,0.0469,0.1122,-0.0653,
L1,P23467,0.0915,0.1029,-0.0114,
L1,P24941,0.1168,0.1193,-0.0025,
L1,P25440,0.0261,0.0971,-0.0710,
L1,P25774,0.1052,0.1111,-0.0060,
L1,P27338,0.0187,0.0958,-0.0771,
L1,P27487,0.0984,0.1125,-0.0142,
L1,P28062,0.1331,0.1339,-0.0009,
L1,P28074,0.1344,0.1311,0.0033,
L1,P28482,0.1152,0.1178,-0.0026,
L1,P29466,0.1254,0.1304,-0.0050,
L1,P29597,0.1029,0.0955,0.0074,
L1,P30291,0.0897,0.1201,-0.0304,
L1,P30530,0.1067,0.0980,0.0086,
L1,P31153,0.1173,0.0390,0.0783,
